ano,valor
2000,0.48583333333333334
2001,0.6183333333333333
2002,0.9916666666666667
2003,0.7458333333333332
2004,0.6124999999999999
2005,0.46249999999999997
2006,0.25833333333333336
2007,0.3641666666666667
2008,0.4791666666666667
2009,0.3525
2010,0.48
2011,0.5266666666666667
2012,0.4741666666666666
2013,0.48
2014,0.5191666666666667
2015,0.8491666666666666
2016,0.51
2017,0.24250000000000002
2018,0.3075
2019,0.35250000000000004
2020,0.36999999999999994
2021,0.8024999999999999
2022,0.4716666666666667
2023,0.3775
2024,0.3941666666666667
2025,0.6766666666666667
